区分,対象/サービス,スコープ,頻度,備考
連携,Veo/Hudl/Trace等,"試合・練習動画URL/ID, クリップメタ",都度(アップロード後),将来は自動同期
連携,Wearables(Oura/WHOOP/Garmin/Polar/Apple Health/Google Fit),"睡眠, HRV/RHR, 歩数, 距離, トレーニング負荷",日次,OAuth連携
連携,体組成計(Withings/Tanita等),"体重, 体脂肪, 筋量, BMR",日次,
連携,表計算(CSV)インポート/エクスポート,"スタッツ, KPI, ユーザー/チーム/大会テーブル",任意,運用初期の移行用途
権限,役割: 本人,全データ(自己データ) R/W,常時,
権限,役割: 保護者,参照(一部編集: 連絡/同意),常時,年少者時
権限,役割: コーチ,"スタッツ/動画/課題 R/W, ライフログ参照(同意に基づく)",常時,
権限,役割: メディカル/トレーナー,"メディカル R/W, 負荷/睡眠参照(同意)",常時,
権限,役割: 栄養士,"食事/体組成 R/W(同意), トレーニング参照",常時,
権限,役割: スカウト/学校/スポンサー,パスポート提示ビューのみ(期間限定リンク),任意,マスク設定/透かし
権限,同意・署名/ハッシュ,"スナップショット署名, 改ざん検知, 監査ログ",生成時/更新時,ブロックチェーンPoC
