エリア,カテゴリ,指標/レポート/アクション,更新頻度,MVP優先度,備考
ホーム,KPIカード,"技術/戦術KPI, フィジカルKPI, 健康KPI, リスクスコア, 直近動画プレビュー, 次アクション",毎セッション/毎日,MUST,役割別ビュー(選手/保護者/コーチ/スカウト)
ホーム,アラート,"未入力チェック, 外れ値検知, ACWR急増, 睡眠不足",イベントドリブン,SHOULD,
スタッツ/動画,技術/戦術KPI,"パス成功率, 進行パス本数/距離, 最終3rd侵入, クロス成功, デュエル勝率, シュート本数/枠内, xG/xA(座標あり時)",毎セッション,MUST,xG/xAはSHOULD
スタッツ/動画,可視化,"ヒートマップ, 受けパス位置, シュートマップ, ボール奪取位置, 位置別成功率",毎セッション,SHOULD,
スタッツ/動画,ハイライト,条件レシピに基づく自動プレイリスト生成,毎セッション,SHOULD,例: 高位置奪取→ショートカウンター→シュート
フィジカル/負荷,KPI,"出場分数, 総走行距離, HSR, 加速/減速回数, sRPE, ACWR, モノトニー/ストレイン",毎セッション/週次,MUST,走行は将来連携で自動化
健康,KPI,"睡眠効率, 就床/起床時刻, RHR/HRVトレンド, 体組成推移, 栄養PFC充足率, 炭水化物タイミング適合度",日次/週次,MUST,
ノート/カレンダー,レビュー,週次レビュー自動生成(達成率/良かった点/改善点/次週トップ3),週次,SHOULD,
ノート/カレンダー,マイクロサイクル,試合日逆算の負荷ガイド(48h/72h前後),週次/試合毎,NICE,
AIバディ,アクション,"今日やる1つ, 今週やる3つ(所要時間/必要リソース付き)",日次,MUST,
AIバディ,フィードバック,クリップ別短評/再現ドリル提案/根拠リンク,毎セッション,SHOULD,
サポート/パスポート,提示用ビュー,プロフィール＋主要KPI＋ヒートマップ＋動画リールのPDF/共有リンク生成,任意,MUST,相手別テンプレ(スカウト/学校/スポンサー)
サポート/パスポート,監査,データの出所・承認履歴(いつ/誰が/何を),随時,SHOULD,
